contrast,progress_window,medication,Sex,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,15,NAL,m,1.3977749536679256,0.6695999924239487,Inf,1,0.6990579346016152,0.48451582563895895
ASD / CTRL,16,NAL,m,1.3904427048426744,0.6693743038328759,Inf,1,0.6847002724809335,0.4935330770694433
ASD / CTRL,17,NAL,m,1.0128731076497413,0.4837849240213282,Inf,1,0.02677969523053903,0.9786354482685032
ASD / CTRL,18,NAL,m,1.08525116587178,0.5233014750522534,Inf,1,0.16966505001176785,0.865273561553477
ASD / CTRL,19,NAL,m,0.9404976263644227,0.4565589454000741,Inf,1,-0.1263712229234943,0.8994380802883013
ASD / CTRL,20,NAL,m,0.8260554161862903,0.40168405704357146,Inf,1,-0.392979880789237,0.6943343412402583
ASD / CTRL,21,NAL,m,1.3286372066372314,0.6475441069119255,Inf,1,0.5830294094946004,0.5598735023777917
ASD / CTRL,22,NAL,m,1.2413169122675496,0.6002490971998632,Inf,1,0.44704607821849607,0.6548417906222361
ASD / CTRL,23,NAL,m,1.327493935087956,0.6342737916833274,Inf,1,0.5929136892796835,0.5532389161284909
ASD / CTRL,24,NAL,m,1.5667672587898227,0.7490068343414008,Inf,1,0.9392452360846753,0.34760484856707174
ASD / CTRL,25,NAL,m,1.3136101646659073,0.621480484198404,Inf,1,0.5765676250978959,0.5642315747108768
ASD / CTRL,26,NAL,m,1.4129011884092273,0.6662218407632565,Inf,1,0.7330328170822307,0.4635384140083791
ASD / CTRL,27,NAL,m,1.2542201483394269,0.5914098369921895,Inf,1,0.48037483392550023,0.6309608857078361
ASD / CTRL,28,NAL,m,1.0451498993343227,0.4937628133277726,Inf,1,0.09347434071878519,0.9255267335693078
ASD / CTRL,29,NAL,m,1.1157417002360264,0.5316179812280486,Inf,1,0.22985555417839817,0.8182040142415552
ASD / CTRL,30,NAL,m,1.053146006844614,0.5040571553267368,Inf,1,0.10818987720887925,0.91384507463952
ASD / CTRL,31,NAL,m,1.0678204328713525,0.5071966786687861,Inf,1,0.1381514203340163,0.8901207478012145
ASD / CTRL,32,NAL,m,0.9581003787867298,0.4548616910029557,Inf,1,-0.09015775506595153,0.9281618541325403
ASD / CTRL,33,NAL,m,0.7732757157279369,0.3668664880744999,Inf,1,-0.5419528845257245,0.5878509636871019
ASD / CTRL,34,NAL,m,0.6580749546884594,0.31307802012603,Inf,1,-0.8795332933330893,0.3791121895127545
ASD / CTRL,35,NAL,m,0.8158282554976125,0.38970193049502544,Inf,1,-0.42612823993312277,0.6700144035055737
ASD / CTRL,36,NAL,m,0.8620405757507584,0.41122308325789153,Inf,1,-0.3111995925672324,0.7556488927534195
ASD / CTRL,37,NAL,m,0.7288096997692074,0.3475307549831722,Inf,1,-0.6634048050045701,0.5070713293362741
ASD / CTRL,01,OXT,m,1.6878451317365484,0.768786404802622,Inf,1,1.1492229748752596,0.25046404958285473
ASD / CTRL,02,OXT,m,1.2567296266154033,0.5740869402501442,Inf,1,0.5002357676750893,0.6169090759910072
ASD / CTRL,03,OXT,m,1.4591917735245892,0.6671936188080989,Inf,1,0.8264517458437246,0.408547880178946
ASD / CTRL,04,OXT,m,1.546337397761304,0.7061157857198875,Inf,1,0.954562596624078,0.33979893977572784
