contrast,progress_window,medication,odds.ratio,SE,df,null,z.ratio,p.value
ASD / CTRL,23,OXT,1.33329525079153,0.42287195448636133,Inf,1,0.9069578979427235,0.3644290618715758
ASD / CTRL,24,OXT,1.4118312001370272,0.4487560920456079,Inf,1,1.0850505699389914,0.27789925829021417
ASD / CTRL,25,OXT,1.3870375891578934,0.43911177922447625,Inf,1,1.0334439775957334,0.3013961749417433
ASD / CTRL,26,OXT,1.4093995029010153,0.44674332381782966,Inf,1,1.0826234295487058,0.2789756033948108
ASD / CTRL,27,OXT,1.273636651963309,0.40385604028451416,Inf,1,0.7628028503617535,0.4455809809665167
ASD / CTRL,28,OXT,1.3437370385204639,0.42429094712222293,Inf,1,0.9357099124986832,0.3494225655633851
ASD / CTRL,29,OXT,1.2137657261813157,0.38494947123707157,Inf,1,0.610833516285484,0.5413098023141046
ASD / CTRL,30,OXT,1.107641361029542,0.3520669807383117,Inf,1,0.3216357805428613,0.7477286340743561
ASD / CTRL,31,OXT,1.22682722216965,0.38744691293327593,Inf,1,0.6473194850112955,0.5174251933094031
ASD / CTRL,32,OXT,1.169361531548662,0.3701832230057491,Inf,1,0.4942305285143503,0.6211433817960201
ASD / CTRL,33,OXT,1.2373968068888925,0.3902860470432874,Inf,1,0.6753448594156333,0.49945668940772575
ASD / CTRL,34,OXT,1.3274223359111146,0.4176707512688246,Inf,1,0.9001773093122706,0.36802589943709424
ASD / CTRL,35,OXT,1.3099739025316355,0.41187463432301824,Inf,1,0.8587622932822624,0.39047167468331406
ASD / CTRL,36,OXT,1.3872502953560262,0.4357398183699332,Inf,1,1.0420891509863182,0.29737034799767065
ASD / CTRL,37,OXT,1.4251591430046762,0.45384552793618255,Inf,1,1.1125158657073182,0.26591641239081393
ASD / CTRL,01,PLA,1.436399148417173,0.46213653129536214,Inf,1,1.1255909821271954,0.26033868689810635
ASD / CTRL,02,PLA,1.1468046248387518,0.36279303644703514,Inf,1,0.43299814048513635,0.6650161207378467
ASD / CTRL,03,PLA,1.5409181272298569,0.48578578021903984,Inf,1,1.3715093781704066,0.17021622206675163
ASD / CTRL,04,PLA,1.4947557317789169,0.4691790683387015,Inf,1,1.2806117000051886,0.20033008837376318
